,snapshot,objective,stores,generators
0,2035-01-01 00:00:00,1.0,1.0,1.0
1,2035-01-01 03:00:00,1.0,1.0,1.0
2,2035-01-01 06:00:00,1.0,1.0,1.0
3,2035-01-01 09:00:00,1.0,1.0,1.0
4,2035-01-01 12:00:00,1.0,1.0,1.0
5,2035-01-01 15:00:00,1.0,1.0,1.0
6,2035-01-01 18:00:00,1.0,1.0,1.0
7,2035-01-01 21:00:00,1.0,1.0,1.0
8,2035-01-02 00:00:00,1.0,1.0,1.0
9,2035-01-02 03:00:00,1.0,1.0,1.0
10,2035-01-02 06:00:00,1.0,1.0,1.0
11,2035-01-02 09:00:00,1.0,1.0,1.0
12,2035-01-02 12:00:00,1.0,1.0,1.0
13,2035-01-02 15:00:00,1.0,1.0,1.0
14,2035-01-02 18:00:00,1.0,1.0,1.0
15,2035-01-02 21:00:00,1.0,1.0,1.0
16,2035-01-03 00:00:00,1.0,1.0,1.0
17,2035-01-03 03:00:00,1.0,1.0,1.0
18,2035-01-03 06:00:00,1.0,1.0,1.0
19,2035-01-03 09:00:00,1.0,1.0,1.0
20,2035-01-03 12:00:00,1.0,1.0,1.0
21,2035-01-03 15:00:00,1.0,1.0,1.0
22,2035-01-03 18:00:00,1.0,1.0,1.0
23,2035-01-03 21:00:00,1.0,1.0,1.0
24,2035-01-04 00:00:00,1.0,1.0,1.0
25,2035-01-04 03:00:00,1.0,1.0,1.0
26,2035-01-04 06:00:00,1.0,1.0,1.0
27,2035-01-04 09:00:00,1.0,1.0,1.0
28,2035-01-04 12:00:00,1.0,1.0,1.0
29,2035-01-04 15:00:00,1.0,1.0,1.0
30,2035-01-04 18:00:00,1.0,1.0,1.0
31,2035-01-04 21:00:00,1.0,1.0,1.0
32,2035-01-05 00:00:00,1.0,1.0,1.0
33,2035-01-05 03:00:00,1.0,1.0,1.0
34,2035-01-05 06:00:00,1.0,1.0,1.0
35,2035-01-05 09:00:00,1.0,1.0,1.0
36,2035-01-05 12:00:00,1.0,1.0,1.0
37,2035-01-05 15:00:00,1.0,1.0,1.0
38,2035-01-05 18:00:00,1.0,1.0,1.0
39,2035-01-05 21:00:00,1.0,1.0,1.0
40,2035-01-06 00:00:00,1.0,1.0,1.0
41,2035-01-06 03:00:00,1.0,1.0,1.0
42,2035-01-06 06:00:00,1.0,1.0,1.0
43,2035-01-06 09:00:00,1.0,1.0,1.0
44,2035-01-06 12:00:00,1.0,1.0,1.0
45,2035-01-06 15:00:00,1.0,1.0,1.0
46,2035-01-06 18:00:00,1.0,1.0,1.0
47,2035-01-06 21:00:00,1.0,1.0,1.0
48,2035-01-07 00:00:00,1.0,1.0,1.0
49,2035-01-07 03:00:00,1.0,1.0,1.0
50,2035-01-07 06:00:00,1.0,1.0,1.0
51,2035-01-07 09:00:00,1.0,1.0,1.0
52,2035-01-07 12:00:00,1.0,1.0,1.0
53,2035-01-07 15:00:00,1.0,1.0,1.0
54,2035-01-07 18:00:00,1.0,1.0,1.0
55,2035-01-07 21:00:00,1.0,1.0,1.0
56,2035-01-08 00:00:00,1.0,1.0,1.0
57,2035-01-08 03:00:00,1.0,1.0,1.0
58,2035-01-08 06:00:00,1.0,1.0,1.0
59,2035-01-08 09:00:00,1.0,1.0,1.0
60,2035-01-08 12:00:00,1.0,1.0,1.0
61,2035-01-08 15:00:00,1.0,1.0,1.0
62,2035-01-08 18:00:00,1.0,1.0,1.0
63,2035-01-08 21:00:00,1.0,1.0,1.0
64,2035-01-09 00:00:00,1.0,1.0,1.0
65,2035-01-09 03:00:00,1.0,1.0,1.0
66,2035-01-09 06:00:00,1.0,1.0,1.0
67,2035-01-09 09:00:00,1.0,1.0,1.0
68,2035-01-09 12:00:00,1.0,1.0,1.0
69,2035-01-09 15:00:00,1.0,1.0,1.0
70,2035-01-09 18:00:00,1.0,1.0,1.0
71,2035-01-09 21:00:00,1.0,1.0,1.0
72,2035-01-10 00:00:00,1.0,1.0,1.0
73,2035-01-10 03:00:00,1.0,1.0,1.0
74,2035-01-10 06:00:00,1.0,1.0,1.0
75,2035-01-10 09:00:00,1.0,1.0,1.0
76,2035-01-10 12:00:00,1.0,1.0,1.0
77,2035-01-10 15:00:00,1.0,1.0,1.0
78,2035-01-10 18:00:00,1.0,1.0,1.0
79,2035-01-10 21:00:00,1.0,1.0,1.0
80,2035-01-11 00:00:00,1.0,1.0,1.0
81,2035-01-11 03:00:00,1.0,1.0,1.0
82,2035-01-11 06:00:00,1.0,1.0,1.0
83,2035-01-11 09:00:00,1.0,1.0,1.0
84,2035-01-11 12:00:00,1.0,1.0,1.0
85,2035-01-11 15:00:00,1.0,1.0,1.0
86,2035-01-11 18:00:00,1.0,1.0,1.0
87,2035-01-11 21:00:00,1.0,1.0,1.0
88,2035-01-12 00:00:00,1.0,1.0,1.0
89,2035-01-12 03:00:00,1.0,1.0,1.0
90,2035-01-12 06:00:00,1.0,1.0,1.0
91,2035-01-12 09:00:00,1.0,1.0,1.0
92,2035-01-12 12:00:00,1.0,1.0,1.0
93,2035-01-12 15:00:00,1.0,1.0,1.0
94,2035-01-12 18:00:00,1.0,1.0,1.0
95,2035-01-12 21:00:00,1.0,1.0,1.0
96,2035-01-13 00:00:00,1.0,1.0,1.0
97,2035-01-13 03:00:00,1.0,1.0,1.0
98,2035-01-13 06:00:00,1.0,1.0,1.0
99,2035-01-13 09:00:00,1.0,1.0,1.0
100,2035-01-13 12:00:00,1.0,1.0,1.0
101,2035-01-13 15:00:00,1.0,1.0,1.0
102,2035-01-13 18:00:00,1.0,1.0,1.0
103,2035-01-13 21:00:00,1.0,1.0,1.0
104,2035-01-14 00:00:00,1.0,1.0,1.0
105,2035-01-14 03:00:00,1.0,1.0,1.0
106,2035-01-14 06:00:00,1.0,1.0,1.0
107,2035-01-14 09:00:00,1.0,1.0,1.0
108,2035-01-14 12:00:00,1.0,1.0,1.0
109,2035-01-14 15:00:00,1.0,1.0,1.0
110,2035-01-14 18:00:00,1.0,1.0,1.0
111,2035-01-14 21:00:00,1.0,1.0,1.0
112,2035-01-15 00:00:00,1.0,1.0,1.0
113,2035-01-15 03:00:00,1.0,1.0,1.0
114,2035-01-15 06:00:00,1.0,1.0,1.0
115,2035-01-15 09:00:00,1.0,1.0,1.0
116,2035-01-15 12:00:00,1.0,1.0,1.0
117,2035-01-15 15:00:00,1.0,1.0,1.0
118,2035-01-15 18:00:00,1.0,1.0,1.0
119,2035-01-15 21:00:00,1.0,1.0,1.0
120,2035-01-16 00:00:00,1.0,1.0,1.0
121,2035-01-16 03:00:00,1.0,1.0,1.0
122,2035-01-16 06:00:00,1.0,1.0,1.0
123,2035-01-16 09:00:00,1.0,1.0,1.0
124,2035-01-16 12:00:00,1.0,1.0,1.0
125,2035-01-16 15:00:00,1.0,1.0,1.0
126,2035-01-16 18:00:00,1.0,1.0,1.0
127,2035-01-16 21:00:00,1.0,1.0,1.0
128,2035-01-17 00:00:00,1.0,1.0,1.0
129,2035-01-17 03:00:00,1.0,1.0,1.0
130,2035-01-17 06:00:00,1.0,1.0,1.0
131,2035-01-17 09:00:00,1.0,1.0,1.0
132,2035-01-17 12:00:00,1.0,1.0,1.0
133,2035-01-17 15:00:00,1.0,1.0,1.0
134,2035-01-17 18:00:00,1.0,1.0,1.0
135,2035-01-17 21:00:00,1.0,1.0,1.0
136,2035-01-18 00:00:00,1.0,1.0,1.0
137,2035-01-18 03:00:00,1.0,1.0,1.0
138,2035-01-18 06:00:00,1.0,1.0,1.0
139,2035-01-18 09:00:00,1.0,1.0,1.0
140,2035-01-18 12:00:00,1.0,1.0,1.0
141,2035-01-18 15:00:00,1.0,1.0,1.0
142,2035-01-18 18:00:00,1.0,1.0,1.0
143,2035-01-18 21:00:00,1.0,1.0,1.0
144,2035-01-19 00:00:00,1.0,1.0,1.0
145,2035-01-19 03:00:00,1.0,1.0,1.0
146,2035-01-19 06:00:00,1.0,1.0,1.0
147,2035-01-19 09:00:00,1.0,1.0,1.0
148,2035-01-19 12:00:00,1.0,1.0,1.0
149,2035-01-19 15:00:00,1.0,1.0,1.0
150,2035-01-19 18:00:00,1.0,1.0,1.0
151,2035-01-19 21:00:00,1.0,1.0,1.0
152,2035-01-20 00:00:00,1.0,1.0,1.0
153,2035-01-20 03:00:00,1.0,1.0,1.0
154,2035-01-20 06:00:00,1.0,1.0,1.0
155,2035-01-20 09:00:00,1.0,1.0,1.0
156,2035-01-20 12:00:00,1.0,1.0,1.0
157,2035-01-20 15:00:00,1.0,1.0,1.0
158,2035-01-20 18:00:00,1.0,1.0,1.0
159,2035-01-20 21:00:00,1.0,1.0,1.0
160,2035-01-21 00:00:00,1.0,1.0,1.0
